Jan-16,1399660
Feb-16,1448157
Mar-16,1453511
Apr-16,1461148
May-16,1507504
Jun-16,1514266
Jul-16,1553107
Aug-16,1620900
Sep-16,1609076
Oct-16,1611235
Nov-16,1661883
Dec-16,1559588
Jan-17,1698295
Feb-17,1759942
Mar-17,1732267
Apr-17,1715924
May-17,1754566
Jun-17,1748524
Jul-17,1751563
Aug-17,1888539
Sep-17,1809174
Oct-17,1806878
Nov-17,1887120
Dec-17,1942176
Jan-18,1926117
Feb-18,2028810
Mar-18,1883343
Apr-18,2019461
May-18,2063039
Jun-18,1954050
Jul-18,1987216
Aug-18,2014826
Sep-18,1997118
Oct-18,1730781
Nov-18,1860819
Dec-18,1710520
Jan-19,1861751
Feb-19,1866627
Mar-19,1802980
Apr-19,1859086
May-19,1890213
Jun-19,1752262
Jul-19,1738859
Aug-19,1768857
Sep-19,1815026
