Jan-16,5598648
Feb-16,5840210
Mar-16,5909899
Apr-16,5799715
May-16,6080407
Jun-16,6056108
Jul-16,6163373
Aug-16,6537463
Sep-16,6382884
Oct-16,6343865
Nov-16,6490244
Dec-16,6340076
Jan-17,6685774
Feb-17,7152982
Mar-17,6817973
Apr-17,6863707
May-17,6964094
Jun-17,7167558
Jul-17,6840830
Aug-17,7497876
Sep-17,7352926
Oct-17,7170291
Nov-17,7549336
Dec-17,7707776
Jan-18,7887763
Feb-18,7990228
Mar-18,7654312
Apr-18,7947352
May-18,8186393
Jun-18,7629715
Jul-18,8012517
Aug-18,8060250
Sep-18,7922921
Oct-18,6781234
Nov-18,7386402
Dec-18,6954506
Jan-19,7568561
Feb-19,7350256
Mar-19,7267799
Apr-19,7317841
May-19,7620829
Jun-19,7124175
Jul-19,6956441
Aug-19,7190660
Sep-19,7142860
