Jan-16,2352671
Feb-16,2394392
Mar-16,2461847
Apr-16,2455722
May-16,2533501
Jun-16,2504226
Jul-16,2547327
Aug-16,2723694
Sep-16,2617860
Oct-16,2663903
Nov-16,2748759
Dec-16,2599316
Jan-17,2808128
Feb-17,2911445
Mar-17,2886869
Apr-17,2813861
May-17,2878324
Jun-17,2962089
Jul-17,2944269
Aug-17,3173062
Sep-17,3063462
Oct-17,2987291
Nov-17,3096246
Dec-17,3186172
Jan-18,3234631
Feb-18,3328733
Mar-18,3139645
Apr-18,3285062
May-18,3438398
Jun-18,3256752
Jul-18,3338673
Aug-18,3467244
Sep-18,3327230
Oct-18,2862020
Nov-18,3052314
Dec-18,2874069
Jan-19,3128423
Feb-19,3061564
Mar-19,3003545
Apr-19,3073157
May-19,3175075
Jun-19,2921766
Jul-19,2852679
Aug-19,2995435
Sep-19,3023767
